rt,subj_idx,highDimCoh,irrDimCoh,lowDimCoh,errorLev,errorDim,response
6.214772487,2,-1,-1,-1,0,0,3
3.815661307,2,1,-1,-1,0,0,3
7.847745605,2,-1,-1,1,0,0,3
3.482361077,2,-1,1,-1,0,0,3
0.233350609,2,1,1,-1,2,2,2
1.799590634,2,-1,-1,1,0,0,3
1.899600625,2,-1,1,1,0,0,3
3.665593196,2,-1,1,1,0,0,3
3.149037906,2,1,-1,-1,0,0,3
3.199174507,2,-1,-1,1,0,0,3
2.132705229,2,1,1,1,0,0,3
2.71584299,2,1,-1,-1,0,0,3
3.082476564,2,-1,1,-1,0,0,3
2.249353367,2,1,-1,-1,0,0,3
2.732431634,2,-1,1,1,0,0,3
1.799554714,2,1,1,1,0,0,3
1.733036838,2,1,-1,1,0,0,3
1.949434473,2,1,-1,1,0,0,3
3.115872691,2,1,1,-1,0,0,3
3.432336461,2,-1,1,1,0,0,3
3.065528721,2,1,-1,-1,0,0,3
2.299283504,2,1,-1,-1,0,0,3
1.866144128,2,-1,1,1,0,0,3
2.21595422,2,1,1,1,0,0,3
1.932724184,2,-1,-1,1,0,0,3
1.949531668,2,1,-1,1,0,0,3
1.716114049,2,1,-1,-1,0,0,3
3.66554158,2,-1,-1,-1,2,2,2
2.565888976,2,-1,1,-1,0,0,3
5.381769727,2,1,1,1,0,0,3
1.432886126,2,1,1,1,1,3,1
1.599379884,2,-1,-1,1,0,0,3
0.433207593,2,-1,-1,-1,0,0,3
2.082848742,2,-1,1,-1,1,3,1
2.33266303,2,-1,-1,-1,0,0,3
1.299716656,2,-1,-1,-1,0,0,3
5.515181581,2,-1,-1,-1,0,0,3
4.415357528,2,1,1,1,0,0,3
2.499304392,2,-1,1,-1,1,3,1
4.398607093,2,-1,1,1,1,3,1
5.498382549,2,-1,-1,-1,2,1,2
4.281985216,2,1,-1,-1,0,0,3
1.88305756,2,1,1,1,0,0,3
1.76602185,2,1,-1,1,0,0,3
1.46622128,2,1,1,-1,0,0,3
2.116055913,2,1,-1,1,0,0,3
