response,rxtime,subj,highDimCoh,irrDimCoh,lowDimCoh
4,1.73289617733099,1,2,2,1
2,1.09975674096495,1,2,1,1
4,1.34977930388413,1,2,2,2
4,0.849767381092533,1,1,2,1
1,1.86615378735587,1,2,2,2
4,0.983059401391074,1,2,1,1
4,1.53297429555096,1,2,1,1
1,0.916863295249641,1,2,2,1
3,1.83312983764336,1,2,2,1
3,0.882989946287125,1,1,2,1
4,1.16658763284795,1,1,1,1
4,0.949796086875722,1,1,1,2
1,1.04969439445995,1,1,2,2
3,2.1161766522564,1,1,1,2
3,1.08315753214993,1,2,1,1
2,0.749823494581506,1,2,2,2
4,1.36619015992619,1,2,1,2
4,0.899618132505566,1,2,2,2
3,0.983081436250359,1,1,2,1
2,0.76652321848087,1,1,1,2
3,0.949844986200333,1,2,2,2
2,1.44971805904061,1,2,1,2
3,0.633545119781047,1,2,2,1
3,1.26646511279978,1,1,1,1
3,0.916353474371135,1,2,2,1
3,0.583341810153797,1,2,1,1
2,1.18302474939264,1,1,1,1
1,1.08306848700158,1,1,1,2
1,0.699826648691669,1,2,1,2
1,0.78317102487199,1,1,2,1
2,0.749922500457615,1,1,1,1
1,1.93281715363264,1,2,1,1
3,0.916366453981027,1,2,2,1
3,0.933072516927496,1,2,2,2
4,1.01646337728016,1,2,1,2
2,1.61649796902202,1,1,2,1
1,0.999740109313279,1,2,1,2
1,1.43306149938144,1,2,1,1
3,1.73279928416014,1,2,1,1
1,0.916418069740757,1,1,1,1
3,0.666477005695924,1,1,1,2
1,0.816607901826501,1,1,2,1
3,1.06651727226563,1,1,2,2
1,1.01626596879214,1,2,2,2
2,1.98275272431783,1,1,2,1
2,0.999968003947288,1,1,2,2
2,1.96641521737911,1,1,2,1
3,0.949901733547449,1,1,2,1
3,0.933013052679598,1,1,2,2
2,0.866596295963973,1,2,1,1
4,0.949757450493053,1,2,1,2
1,0.866455936804414,1,2,1,2
1,3.0823700116016,1,1,2,1
2,0.849963280139491,1,2,2,2
3,0.883208182174712,1,2,1,2
3,0.749674683669582,1,1,2,1
4,1.18295381520875,1,1,2,2
1,1.51614990853705,1,2,2,2
4,1.11660316283815,1,2,2,1
2,1.83287598378956,1,1,1,2
2,1.61636968376115,1,2,1,1
3,0.899625980528072,1,2,1,2
4,1.19970032549463,1,2,2,1
1,2.13285585050471,1,1,2,2
4,0.899917263537645,1,2,2,1
4,1.33307595783845,1,1,2,1
2,2.23278223001398,1,2,2,2
3,1.01647424371913,1,1,1,2
1,1.38284732331522,1,2,1,2
2,0.933156732236966,1,1,1,1
4,1.08306094096042,1,2,1,2
2,0.949745376361534,1,1,2,2
3,0.933124132920057,1,1,2,2
4,1.21623222227208,1,1,1,1
1,0.966378090204671,1,2,1,2
4,0.96651573269628,1,2,2,2
4,1.03317155316472,1,1,1,1
1,1.6662518272642,1,1,1,2
2,0.916517377831042,1,1,1,2
4,0.783222339116037,1,2,1,1
2,0.949670819798484,1,1,2,2
2,0.8165786229074,1,2,1,1
4,1.04971280717291,1,1,2,2
4,1.36626079236157,1,1,2,1
1,2.2327858521603,1,1,1,1
2,0.966415519127622,1,2,2,2
4,0.899699329631403,1,1,1,2
1,1.09971931180917,1,2,2,1
1,1.51639983826317,1,1,2,2
1,0.666572087677196,1,2,2,2
1,0.733105659717694,1,1,1,1
4,1.13308857521042,1,2,1,1
4,0.983106489758939,1,2,2,2
1,1.48294334090315,1,2,2,1
4,1.13341215578839,1,1,1,2
2,0.899582212558016,1,2,1,2
4,0.849745949730277,1,2,2,2
2,0.84989808104001,1,2,2,2
4,0.866491856519133,1,2,1,1
1,1.966003497364,1,1,2,1
3,1.18317446578294,1,2,1,2
4,1.29976887535304,1,1,2,1
2,0.916255071992055,1,2,1,1
3,2.04936688952148,1,1,1,2
4,0.799916931428015,1,2,1,2
4,0.733128902036697,1,1,1,2
